PDBID,pK
1nja,6.31000
2bal,6.31000
1syh,6.31000
2c9d,6.32000
1w3j,6.32000
6upj,6.32000
1c29,6.33000
1c8v,6.33000
1ex8,6.33000
1yys,6.33000
1i00,6.34000
1w9v,6.34000
1xq0,6.34000
2byi,6.34000
1bdq,6.34000
2f2c,6.35000
2j7f,6.35000
1yrs,6.35000
1o48,6.35000
1cbx,6.35000
1gjb,6.35000
1gjc,6.35000
1qwf,6.35000
1mik,6.35000
1o49,6.36000
1o2o,6.36000
1ela,6.36000
1c5q,6.36000
6abp,6.36000
1g3f,6.37000
1hbv,6.37000
1hms,6.37000
5tln,6.37000
1kdy,6.38000
1qja,6.38000
1qjb,6.38000
1xm6,6.38000
2er0,6.38000
1ocn,6.39000
1o79,6.39000
1lol,6.39000
1xog,6.39000
1a1b,6.40000
1a07,6.40000
4pax,6.40000
2cmo,6.40000
2c1b,6.40000
2ai7,6.40000
2a4l,6.40000
1z2b,6.40000
1yvm,6.40000
1usk,6.40000
1nzv,6.40000
1jrs,6.40000
1igb,6.40000
1i7z,6.40000
1i7c,6.40000
1g7v,6.40000
1fq4,6.40000
1c3r,6.40000
1a1c,6.40000
1rth,6.40000
10gs,6.40000
1xor,6.41000
1i80,6.41000
1pye,6.41000
1w0y,6.42000
2j78,6.42000
1tl1,6.42000
1o5a,6.42000
1thl,6.42000
1fh9,6.43000
1n7j,6.43000
2b07,6.43000
2bzz,6.43000
2fqo,6.43000
2ivu,6.43000
1jqe,6.44000
1qti,6.44000
1j4q,6.44000
1svh,6.44000
7abp,6.46000
2c6m,6.46000
1r5y,6.46000
1w2k,6.46000
1wbn,6.46000
1ro6,6.46000
1q4w,6.46000
1m2r,6.46000
1gt3,6.46000
1wbt,6.47000
1j01,6.47000
1aqj,6.47000
1gpn,6.48000
1c50,6.48000
1f4g,6.48000
1q9m,6.48000
1rpj,6.48000
1s4d,6.49000
1dl7,6.49000
1ru2,6.49000
1fsw,6.49000
2h02,6.49000
1x11,6.49000
1xa5,6.50000
2usn,6.51000
1h3c,6.51000
1vwf,6.51000
2gz7,6.52000
5est,6.52000
4fiv,6.52000
4aig,6.52000
2h4g,6.52000
1zhy,6.52000
2f9b,6.52000
1alw,6.52000
1rsd,6.52000
1qy1,6.52000
1mqh,6.52000
1m21,6.52000
1k9s,6.52000
1esz,6.52000
1g74,6.52000
1ct8,6.52000
1w1d,6.52000
1gt4,6.52000
2h21,6.54000
1vyz,6.54000
1zz3,6.54000
1h39,6.54000
1d3q,6.54000
2evc,6.54000
1o3l,6.54000
2bok,6.55000
1yda,6.55000
2fgh,6.55000
1umw,6.55000
1dhj,6.55000
1h3a,6.55000
1hmr,6.55000
1hp5,6.55000
1yc4,6.55000
1q4k,6.55000
1n4h,6.55000
1wva,6.57000
1y2c,6.57000
2c6l,6.57000
2cv3,6.57000
2fqy,6.57000
5er2,6.57000
5lpr,6.57000
1ft4,6.57000
1gzv,6.57000
1sld,6.57000
1k1i,6.58000
1qr3,6.59000
2byh,6.59000
1izi,6.59000
1b58,6.59000
1c2t,6.59000
1c3e,6.59000
1hk3,6.59000
1fiv,6.59000
1n7i,6.59000
2gtk,6.60000
2f7p,6.60000
2euk,6.60000
2c5y,6.60000
2c5x,6.60000
2a4z,6.60000
1vot,6.60000
1kwr,6.60000
1jzs,6.60000
1gwr,6.60000
1g7g,6.60000
1b38,6.60000
1ad8,6.60000
1zpc,6.60000
1d8e,6.60000
4er1,6.62000
8lpr,6.62000
2j7b,6.62000
1xnz,6.62000
1afk,6.62000
1ii5,6.62000
1jd5,6.62000
1kkq,6.62000
2cnf,6.62000
1tkz,6.62000
1soj,6.62000
2h96,6.64000
2srt,6.64000
5abp,6.64000
1lcp,6.64000
1sln,6.64000
2d3z,6.64000
1tmm,6.64000
2j75,6.65000
2c8x,6.66000
1pxp,6.66000
1o3p,6.66000
1elc,6.66000
1cps,6.66000
1a4r,6.66000
2c5n,6.66000
2fqw,6.68000
2cm7,6.68000
1zeo,6.68000
1oiu,6.68000
1mai,6.68000
1c5x,6.68000
1bdr,6.68000
4apr,6.70000
3pck,6.70000
2is0,6.70000
2fwy,6.70000
2eum,6.70000
1z6q,6.70000
1xdd,6.70000
1rdt,6.70000
1qy5,6.70000
1p10,6.70000
1nms,6.70000
2evl,6.70000
1mwn,6.70000
1a09,6.70000
1a50,6.70000
1b0h,6.70000
1nki,6.70000
1b3g,6.70000
1dfo,6.70000
1eld,6.70000
1f3e,6.70000
1rek,6.70000
1gca,6.70000
1ke3,6.70000
1koj,6.70000
1lfo,6.70000
1jq3,6.70000
1fo3,6.70000
1i7i,6.70000
1hp0,6.70000
1w82,6.71000
3gst,6.72000
5fwg,6.72000
1rbp,6.72000
2f3f,6.72000
1o6h,6.73000
1wvj,6.73000
2cma,6.73000
1jld,6.73000
1usi,6.74000
2azc,6.74000
1add,6.74000
1r5h,6.74000
1tmb,6.74000
2pax,6.74000
1cx9,6.75000
1h5u,6.75000
1rw8,6.76000
1w22,6.76000
1ms7,6.77000
1o30,6.77000
1o3j,6.77000
1hk2,6.77000
1om1,6.77000
1ony,6.77000
1qb1,6.77000
2c1a,6.77000
1bzh,6.77000
1bkj,6.77000
1mqd,6.77000
1o3k,6.77000
2ai8,6.80000
4er4,6.80000
3mbp,6.80000
1y2e,6.80000
1ttv,6.80000
1mkd,6.80000
1nq7,6.80000
1ung,6.80000
1fl3,6.80000
1bl6,6.80000
1okx,6.80000
1p1n,6.80000
2f3e,6.81000
1drk,6.82000
2g97,6.82000
2etr,6.82000
2etk,6.82000
2d41,6.82000
2c94,6.82000
2ath,6.82000
1fhd,6.82000
1fsy,6.82000
1tr7,6.82000
1pmv,6.82000
1o38,6.82000
1o37,6.82000
1n7t,6.82000
1lrh,6.82000
1k1n,6.82000
1jeu,6.82000
1hgt,6.82000
1uwf,6.82000
1xh7,6.82000
1htf,6.83000
1tze,6.83000
2gnh,6.83000
1bhx,6.84000
1me4,6.84000
2iw6,6.85000
2cbr,6.85000
2axi,6.85000
1yw2,6.85000
1xt8,6.85000
1ele,6.85000
1tvo,6.85000
1sqc,6.85000
1rv1,6.85000
1q72,6.85000
1os5,6.85000
1lkk,6.85000
1h3b,6.85000
1g30,6.85000
1bap,6.85000
1xk9,6.85000
3aid,6.86000
3tmk,6.87000
1cgl,6.87000
1xka,6.88000
1jev,6.89000
1qhr,6.89000
1sb1,6.89000
1uz1,6.89000
1v0p,6.89000
1vr1,6.89000
1wqv,6.89000
2bfq,6.89000
2dri,6.89000
2f34,6.89000
1fh8,6.89000
1b3f,6.89000
4vgc,6.90000
1k1l,6.90000
1yuc,6.91000
2hha,6.91000
2a3x,6.92000
2foy,6.92000
2d3u,6.92000
1vj5,6.92000
1o2k,6.92000
1pkx,6.92000
1ph0,6.92000
1o4a,6.92000
1o2j,6.92000
1m9n,6.92000
1k6v,6.92000
1b39,6.92000
1a9m,6.92000
1swr,6.92000
1kmv,6.95000
1tcx,6.95000
1r58,6.96000
2anl,6.96000
1x8j,6.96000
1u0h,6.96000
1oyq,6.96000
2cng,6.96000
1mto,6.96000
1c5c,6.96000
1bm2,6.96000
1n3w,6.96000
1d3v,6.96000
1ent,6.96000
1gvw,6.96000
1gj8,6.96000
1juj,6.96000
1gux,6.96000
2fme,6.98000
1biw,6.98000
2iw8,6.99000
1iep,7.00000
1ch8,7.00000
1fki,7.00000
2j7g,7.00000
2gyi,7.00000
2gm1,7.00000
2buc,7.00000
1gj6,7.00000
2a2g,7.00000
1yvf,7.00000
1fpc,7.00000
1unh,7.00000
1tyr,7.00000
1m74,7.00000
1lf3,7.00000
1is0,7.00000
1zoh,7.00000
1vru,7.00000
2b8v,7.01000
1u32,7.01000
2btr,7.02000
1ypj,7.02000
2b55,7.02000
1b1h,7.03000
1wtg,7.03000
1gnj,7.04000
1nyx,7.04000
2aov,7.04000
1g7p,7.05000
1ci7,7.05000
2jxr,7.05000
2h03,7.05000
2bub,7.05000
2bq7,7.05000
1xug,7.05000
1nox,7.05000
1b5i,7.05000
1bwn,7.06000
1ui0,7.06000
1ydd,7.07000
1zsh,7.07000
2aei,7.07000
1ga9,7.08000
1xpz,7.08000
2bz6,7.09000
1lpg,7.09000
3er3,7.09000
1bmm,7.10000
2il2,7.10000
2iku,7.10000
2fou,7.10000
1b32,7.10000
2ewp,7.10000
1vrt,7.10000
1t4e,7.10000
1o6r,7.10000
1lhg,7.10000
1iau,7.10000
2f7i,7.10000
2gmx,7.11000
1b05,7.12000
1b52,7.12000
1gwq,7.12000
1nz7,7.12000
1xd0,7.12000
5upj,7.12000
2j7d,7.13000
1o39,7.13000
1o3b,7.13000
1o3c,7.13000
1o3d,7.13000
1xuc,7.14000
1rxp,7.14000
2fqx,7.15000
1zog,7.15000
4prg,7.15000
1x7q,7.15000
1pxn,7.15000
1nzl,7.15000
1fch,7.15000
1elb,7.15000
1dm2,7.15000
1z4u,7.15000
1epp,7.16000
1f0u,7.16000
1oi9,7.16000
1xuo,7.16000
2evo,7.17000
1o2h,7.17000
2a8h,7.17000
2bdf,7.17000
1p02,7.17000
1g36,7.17000
1rs4,7.17000
2a4g,7.18000
7lpr,7.18000
2a4q,7.18000
1los,7.19000
1gi4,7.19000
1fcx,7.19000
2j7h,7.19000
2j4z,7.19000
2cmb,7.19000
1hsl,7.19000
1w83,7.19000
1me8,7.19000
1me7,7.19000
1me3,7.19000
1nxy,7.19000
2azb,7.19000
1oiy,7.19000
1q7a,7.19000
1xqc,7.20000
2g8n,7.20000
1gsz,7.21000
1wun,7.21000
1py2,7.22000
1sw2,7.22000
1ll4,7.22000
2er6,7.22000
2fo4,7.22000
3pcj,7.22000
1lan,7.22000
1gvx,7.22000
1fvt,7.22000
1pxm,7.22000
1uk1,7.22000
1h37,7.23000
2cnh,7.23000
1y91,7.23000
2gnl,7.24000
3cbs,7.24000
1g2l,7.24000
1oyt,7.24000
1etz,7.24000
1ezf,7.25000
1jet,7.25000
1ke1,7.25000
1u59,7.25000
1y2h,7.25000
2ces,7.25000
2gbg,7.25000
2f8i,7.26000
1dhi,7.26000
1mrx,7.26000
1wv7,7.26000
1fdq,7.27000
1hii,7.28000
1b40,7.28000
2cgr,7.28000
1ppx,7.28000
1shc,7.28000
1kel,7.28000
1pun,7.28000
1puq,7.28000
2ceq,7.28000
1pus,7.28000
1py5,7.29000
6lpr,7.30000
2i3i,7.30000
2fwz,7.30000
2f4b,7.30000
1xdg,7.30000
4sga,7.30000
1sw1,7.30000
1ej4,7.30000
1nj5,7.30000
1nju,7.30000
1tmn,7.30000
2b7f,7.30000
1qtn,7.30000
1o3i,7.30000
1o3h,7.30000
1nkm,7.30000
1nqc,7.30000
1o1s,7.31000
1ydt,7.32000
2j7e,7.32000
1owj,7.32000
1jut,7.32000
1g5s,7.32000
1a9u,7.32000
1xh6,7.32000
1qf1,7.32000
1fe3,7.33000
2ank,7.33000
2j2u,7.33000
2fgi,7.34000
1uw6,7.34000
2dxs,7.34000
2gv6,7.34000
3znc,7.34000
1exv,7.35000
2g9x,7.35000
1bqm,7.35000
1ttm,7.35000
1ke2,7.35000
1qkb,7.35000
1gmy,7.35000
1mhw,7.35000
1k6p,7.36000
1swg,7.36000
2g1q,7.36000
1qf5,7.37000
2aw1,7.37000
2fm5,7.37000
1b51,7.37000
1fao,7.37000
1cnx,7.37000
1bxq,7.38000
1csr,7.38000
1qf0,7.38000
1t13,7.38000
2f9u,7.39000
2upj,7.39000
1jd6,7.39000
1b11,7.39000
1d3p,7.39000
1ilh,7.39000
1fax,7.39000
1xoe,7.39000
2i3h,7.40000
2er9,7.40000
2bpy,7.40000
1zoe,7.40000
1y3g,7.40000
1q4l,7.40000
1p04,7.40000
1owh,7.40000
1oar,7.40000
1k1m,7.40000
1hkk,7.40000
1g2m,7.40000
1drj,7.40000
1b55,7.40000
1r6n,7.40000
1f8c,7.40000
1dwc,7.41000
1cpi,7.41000
1ik4,7.41000
1veb,7.41000
1ym4,7.41000
1q5k,7.42000
1bmq,7.42000
2aow,7.42000
1y6b,7.42000
1t32,7.42000
2aox,7.42000
2fl6,7.42000
1b5j,7.43000
2bak,7.43000
1vyw,7.43000
1pi4,7.43000
1fl6,7.43000
2bks,7.43000
1ciz,7.44000
1eou,7.44000
1qb9,7.44000
1vzq,7.44000
2f7o,7.44000
1sc8,7.44000
1n0s,7.45000
2ccb,7.45000
1yei,7.46000
1yej,7.46000
1sqo,7.46000
1my8,7.46000
1e9h,7.46000
1ogu,7.47000
1xh4,7.47000
5tmp,7.47000
1h8l,7.47000
1fls,7.48000
1iiq,7.48000
1k6c,7.48000
1rev,7.48000
1tvr,7.48000
1wok,7.48000
1y2j,7.48000
2qwe,7.48000
2hh5,7.49000
1oir,7.49000
1ewj,7.49000
1pf8,7.51000
1lah,7.52000
1bm7,7.52000
2mas,7.52000
2c6c,7.52000
1z5m,7.52000
1ivp,7.52000
1uml,7.52000
1mmq,7.52000
1pq3,7.52000
1vea,7.52000
1lke,7.52000
1lf2,7.52000
1r5g,7.52000
1qcp,7.52000
1tkx,7.54000
2f1g,7.54000
2tsr,7.54000
1h35,7.54000
1j1a,7.54000
1ths,7.54000
2fov,7.55000
2cmf,7.55000
1vj9,7.55000
1v0l,7.55000
1tlp,7.55000
1riw,7.55000
1lpk,7.55000
1k1j,7.55000
1csh,7.55000
1v0n,7.55000
1owi,7.55000
1ryh,7.56000
1q95,7.57000
1qhc,7.57000
1qpf,7.57000
2avs,7.57000
1m13,7.57000
1d09,7.57000
1c3b,7.57000
1a0q,7.57000
1pk0,7.57000
1u65,7.58000
1q6k,7.59000
1zfp,7.59000
2c3k,7.59000
2fdp,7.59000
2fxr,7.60000
2fs8,7.60000
1pcg,7.60000
1xlx,7.60000
1bmk,7.60000
1lpz,7.60000
1nj1,7.60000
1xs7,7.60000
1bwa,7.60000
1orw,7.60000
1ftm,7.61000
1v3x,7.62000
1yqy,7.62000
2aoe,7.62000
1fzq,7.62000
1no9,7.62000
1k6t,7.62000
1c1r,7.63000
1mqi,7.63000
1owk,7.63000
966c,7.64000
2g0h,7.64000
1vjy,7.64000
1uvt,7.64000
1c1v,7.64000
1q6n,7.64000
1e5a,7.64000
1o6q,7.64000
2bkt,7.64000
5fiv,7.66000
2fj0,7.66000
2az9,7.66000
1q41,7.66000
1ppk,7.66000
1nny,7.66000
1juy,7.66000
1au0,7.66000
1y6a,7.66000
1f0r,7.66000
2bpv,7.67000
1ze8,7.68000
2cni,7.68000
1y2k,7.68000
1t4v,7.68000
1oq5,7.68000
1o2q,7.68000
1j07,7.68000
1w1g,7.68000
1dbj,7.68000
1cyn,7.68000
1bjr,7.68000
2a2x,7.69000
1uou,7.70000
1vja,7.70000
1zaf,7.70000
2agv,7.70000
2bts,7.70000
4tmk,7.70000
2d1o,7.70000
2ica,7.70000
1sqi,7.70000
5hvp,7.70000
2c4f,7.70000
1s39,7.70000
2b54,7.70000
1pyw,7.70000
1h8y,7.70000
1gno,7.70000
1fzm,7.70000
1bai,7.70000
1him,7.70000
1hww,7.70000
1iem,7.70000
1izh,7.70000
1m5e,7.70000
1mes,7.70000
1b0f,7.70000
1mm6,7.70000
1mm7,7.70000
1oau,7.70000
1oz0,7.70000
1qpe,7.70000
1yk7,7.72000
1j4r,7.72000
1oif,7.72000
1cnw,7.72000
1caq,7.72000
1bl7,7.72000
1ajv,7.72000
1uom,7.72000
2aou,7.73000
1sbg,7.74000
2adu,7.74000
1x70,7.74000
1wu1,7.74000
1usn,7.74000
1txr,7.74000
1rd4,7.74000
1f0s,7.74000
1qiw,7.74000
1qbo,7.74000
1nfu,7.74000
1lee,7.74000
1j36,7.74000
1heg,7.74000
1h36,7.74000
1eas,7.74000
1d8f,7.74000
1qj6,7.74000
1bqo,7.74000
1rhq,7.75000
1hdt,7.76000
2ccc,7.76000
6apr,7.77000
1pi5,7.77000
2bdy,7.77000
1xh9,7.77000
1wss,7.77000
1ek1,7.77000
1axs,7.77000
5apr,7.77000
2i19,7.80000
2hd6,7.80000
1cwc,7.80000
1v48,7.80000
1u1b,7.80000
1q6j,7.80000
1g49,7.80000
1f28,7.80000
1al7,7.80000
1x8t,7.80000
2bdl,7.82000
2j34,7.82000
2euf,7.82000
2cf9,7.82000
2b8l,7.82000
1njs,7.82000
1yly,7.82000
1nde,7.82000
1gfw,7.82000
1eat,7.82000
1b6h,7.82000
2a4r,7.82000
1q3d,7.82000
1nvs,7.82000
1nf8,7.82000
1m5f,7.83000
1a94,7.85000
2gv7,7.85000
1b8y,7.85000
1o2t,7.85000
1laf,7.85000
1x78,7.85000
1lbf,7.85000
1jwt,7.85000
1cny,7.85000
1fq6,7.86000
2clv,7.88000
1fzo,7.89000
1au2,7.89000
2j50,7.89000
2g2r,7.89000
2f3k,7.89000
2ajl,7.89000
1ywr,7.89000
1erq,7.89000
1x7a,7.89000
1v79,7.89000
1bm6,7.89000
1q6m,7.89000
1npz,7.89000
1kvo,7.89000
1h2u,7.89000
1h2t,7.89000
1gj7,7.89000
1waw,7.89000
1qng,7.89000
2h5j,7.91000
1ajx,7.91000
1p2a,7.92000
1q6s,7.92000
1tfq,7.92000
1tg5,7.92000
1tl7,7.92000
1xbc,7.92000
2gbf,7.92000
2irz,7.92000
1f90,7.92000
1xd1,7.92000
1c4y,7.92000
1b6j,7.92000
1avp,7.92000
2ewa,7.94000
1mem,7.94000
1leg,7.95000
2e1w,7.96000
1xom,7.96000
1o3f,7.96000
1o3g,7.96000
1epo,7.96000
1g2k,7.96000
1hvh,7.96000
1nzq,7.96000
1qxl,7.96000
1idb,7.96000
1o3e,7.96000
3amv,7.97000
1mf4,7.99000
1b5g,8.00000
1a4k,8.00000
9abp,8.00000
8abp,8.00000
1z3j,8.00000
1ypg,8.00000
1ym2,8.00000
1yhs,8.00000
1ycm,8.00000
1ayv,8.00000
1utr,8.00000
1tps,8.00000
1vyg,8.00000
1apw,8.00000
1bzs,8.00000
1dqn,8.00000
1fkg,8.00000
1fpp,8.00000
1tkb,8.00000
1fvv,8.00000
1g2a,8.00000
1sm2,8.00000
1gai,8.00000
1i5d,8.00000
1nc6,8.00000
1o46,8.00000
1qin,8.00000
1r0p,8.00000
1gaf,8.00000
1v7a,8.01000
2cc7,8.01000
1m5b,8.01000
1b7h,8.02000
2cet,8.02000
1z6j,8.03000
2mpa,8.04000
1rhj,8.04000
1mpa,8.04000
5tmn,8.04000
1jjt,8.05000
1hrn,8.05000
2iw9,8.05000
2i0h,8.05000
2bqv,8.05000
1hih,8.05000
1x7r,8.05000
1vyf,8.05000
2b9a,8.05000
1ke7,8.05000
1lqd,8.05000
1qj1,8.05000
1o42,8.05000
1ong,8.05000
1zgb,8.06000
4fab,8.06000
1dva,8.07000
1gni,8.07000
1jtq,8.07000
1wxz,8.07000
1siv,8.08000
6fiv,8.08000
1lhf,8.09000
2b52,8.10000
1zxc,8.10000
2a5u,8.10000
2cf8,8.10000
1ype,8.10000
1qj7,8.10000
1stc,8.10000
1rt1,8.10000
1rhr,8.10000
1p4r,8.10000
1ody,8.10000
1l6m,8.10000
1ghy,8.10000
1erb,8.10000
1dbk,8.10000
1xud,8.10000
1fzj,8.10000
1ndz,8.11000
1nvr,8.11000
1o5r,8.12000
2arm,8.13000
1yqj,8.14000
1g35,8.14000
1pfy,8.15000
1fkh,8.15000
1jlq,8.15000
1aq1,8.15000
1g27,8.15000
2fm2,8.15000
2d1n,8.15000
2fxu,8.15000
2bed,8.15000
2ayp,8.15000
1w5v,8.15000
1u9x,8.15000
1tfz,8.15000
1pmn,8.15000
2bkz,8.15000
1ikx,8.15000
1c8l,8.16000
2g63,8.17000
1dwd,8.18000
2f80,8.18000
2iiv,8.18000
1p03,8.19000
2h65,8.19000
2h5d,8.19000
1oky,8.19000
1epq,8.19000
1ek2,8.20000
1owd,8.20000
1o0d,8.21000
1onh,8.21000
2ff1,8.21000
2ff2,8.21000
2cji,8.22000
2cbs,8.22000
2c6o,8.22000
2az8,8.22000
1u9v,8.22000
1kdz,8.22000
1pl0,8.22000
1dth,8.22000
1dtq,8.22000
1efy,8.22000
1em6,8.22000
1ets,8.22000
1rt2,8.22000
1h1d,8.22000
1h1s,8.22000
1jr1,8.22000
1ero,8.23000
1npv,8.24000
1ke6,8.24000
1nmk,8.24000
1eve,8.24000
1ydb,8.24000
1u9e,8.24000
1c1u,8.25000
1auj,8.25000
1g4o,8.25000
1nvq,8.25000
1iky,8.26000
2chm,8.26000
1clu,8.27000
2a4w,8.29000
1hv5,8.30000
1b6l,8.30000
1dtt,8.30000
2hrp,8.30000
2gv2,8.30000
2aeb,8.30000
1bzf,8.30000
1yt9,8.30000
1zzl,8.30000
1u3r,8.30000
1tom,8.30000
1tft,8.30000
1sve,8.30000
1s17,8.30000
1rej,8.30000
1lqf,8.30000
1okz,8.30000
1q6t,8.30000
1qbq,8.30000
1uv5,8.30000
2hs2,8.31000
2fdd,8.32000
2dq7,8.32000
1u9q,8.33000
1hwr,8.33000
1bzy,8.34000
1uwb,8.34000
1h23,8.35000
1mj7,8.35000
9hvp,8.35000
1bb0,8.36000
1d4j,8.36000
1ouy,8.37000
2fjp,8.37000
1k21,8.38000
1mu6,8.38000
1it6,8.39000
1lzq,8.39000
1x7b,8.39000
1zpa,8.40000
1z1h,8.40000
1w7x,8.40000
1w5x,8.40000
1w4l,8.40000
1s64,8.40000
1a4g,8.40000
1o47,8.40000
1aaq,8.40000
1b6m,8.40000
1fd0,8.40000
1fq5,8.40000
1q3w,8.40000
2baj,8.40000
1nd5,8.40000
1fzk,8.40000
1mtr,8.40000
1k22,8.40000
1jil,8.40000
1g48,8.41000
1i9p,8.41000
1i9q,8.41000
1w96,8.41000
1e4h,8.41000
1htg,8.42000
2g5p,8.42000
1i9o,8.42000
1bwb,8.42000
2c8w,8.43000
1jje,8.43000
1ynd,8.44000
1bmn,8.44000
1jq9,8.45000
2mip,8.46000
1a3e,8.46000
1bgo,8.46000
1iht,8.46000
1u3q,8.46000
1u9w,8.46000
1ld8,8.46000
1w5y,8.48000
1i9m,8.48000
1i9l,8.48000
2hs1,8.48000
2g5u,8.49000
1akt,8.49000
1ec0,8.49000
2ieo,8.49000
2ihq,8.49000
7upj,8.49000
1qpl,8.51000
1cr6,8.51000
1d8m,8.51000
1g05,8.51000
2hfp,8.52000
2gbi,8.52000
2fvd,8.52000
2fs9,8.52000
2bqw,8.52000
2boh,8.52000
1xkk,8.52000
1urw,8.52000
1ta2,8.52000
1rp7,8.52000
1rhu,8.52000
1q6p,8.52000
1oit,8.52000
1o44,8.52000
1nfx,8.52000
1jij,8.52000
1i5r,8.52000
1hbj,8.52000
1fcy,8.52000
1d7x,8.52000
1b6p,8.52000
1sps,8.52000
1r78,8.52000
1r1i,8.54000
1ppl,8.55000
1hos,8.55000
1ibg,8.55000
2byr,8.55000
2h8h,8.57000
1bgq,8.57000
1q1g,8.57000
1yye,8.57000
2i0j,8.57000
1hkj,8.59000
1akw,8.59000
2iit,8.59000
1m7q,8.59000
2fky,8.59000
1ikw,8.60000
1yy4,8.60000
1a61,8.62000
1azl,8.62000
2h42,8.62000
2bbb,8.62000
1g45,8.64000
1mue,8.64000
6std,8.64000
1t31,8.64000
1r1j,8.64000
1n9a,8.66000
2i47,8.66000
1i9n,8.66000
2i3z,8.70000
2i0e,8.70000
2b7d,8.70000
2fmb,8.70000
2fl2,8.70000
2f8g,8.70000
2dbl,8.70000
2bpm,8.70000
2be2,8.70000
2pcp,8.70000
2h4n,8.70000
1y0x,8.70000
1t7j,8.70000
1f9e,8.70000
1g4j,8.70000
1hfs,8.70000
1xap,8.70000
1bji,8.70000
1ida,8.70000
1jgl,8.70000
1jiz,8.70000
1bcd,8.70000
1lnm,8.70000
1npa,8.70000
1svg,8.70000
1rne,8.70000
1pxo,8.70000
1ohr,8.70000
1jyq,8.70000
1npw,8.70000
1c12,8.72000
1eub,8.72000
1hc9,8.72000
1hkm,8.72000
1o5m,8.72000
1x76,8.72000
1cin,8.73000
2fl5,8.74000
1b6k,8.74000
1bl4,8.74000
1mjj,8.74000
1sdv,8.74000
1pxh,8.74000
2anm,8.74000
1bnv,8.77000
2cne,8.77000
1ros,8.77000
1zp8,8.77000
1d4l,8.77000
1lq2,8.77000
1xpc,8.77000
1qft,8.77000
1x38,8.77000
1zuc,8.77000
2amv,8.80000
1ryf,8.80000
1g46,8.80000
1fkn,8.80000
1csi,8.80000
1cj1,8.80000
1w5w,8.80000
1f1j,8.80000
1ork,8.81000
1yz3,8.81000
1m0b,8.82000
2giu,8.82000
1g54,8.82000
1czk,8.82000
1cim,8.82000
3tlh,8.82000
2ckm,8.82000
1d4i,8.85000
1u3s,8.85000
2avo,8.85000
2feq,8.86000
1nfy,8.89000
1i90,8.89000
1n3i,8.89000
2lpr,8.89000
2idw,8.89000
2h5i,8.89000
1ztq,8.89000
1xp9,8.89000
1nt1,8.89000
1lek,8.89000
1i8z,8.90000
1bim,8.92000
1ec1,8.92000
1n95,8.92000
1r1h,8.92000
1xoz,8.92000
1kzn,8.92000
1i91,8.94000
1bv9,8.96000
1nfw,8.96000
1n94,8.96000
1ld7,8.96000
1j37,8.96000
1doj,8.96000
1qon,8.96000
1xp0,9.00000
1y0l,9.00000
2b7a,9.00000
2ban,9.00000
2j4i,9.00000
2ien,9.00000
3er5,9.00000
8hvp,9.00000
1sz0,9.00000
2i03,9.00000
1syo,9.00000
1wei,9.00000
1pop,9.00000
1ba8,9.00000
1czr,9.00000
1fm9,9.00000
1dbb,9.00000
1rm8,9.00000
1apv,9.00000
1gvu,9.00000
1ag9,9.00000
1hiv,9.00000
1hef,9.00000
1mq5,9.00000
1mu8,9.00000
1mxo,9.00000
1iyl,9.00000
1k27,9.00000
1jii,9.00000
2fes,9.01000
1qkt,9.04000
1g53,9.04000
1ec3,9.04000
1ni1,9.05000
1pbk,9.05000
1s63,9.05000
1ezq,9.05000
1ebw,9.05000
1kdk,9.05000
1udu,9.05000
1you,9.06000
1nw4,9.07000
1bnw,9.08000
1tu6,9.08000
1xmu,9.08000
1akr,9.09000
1d3d,9.09000
1msn,9.09000
2g5t,9.09000
1akq,9.10000
1h22,9.10000
1sj0,9.10000
2b5j,9.10000
1d9i,9.11000
1rhk,9.11000
1ta6,9.13000
1ove,9.13000
2fde,9.15000
1d5j,9.15000
1czl,9.15000
1ayu,9.15000
1pig,9.15000
8cpa,9.15000
1xoq,9.17000
4phv,9.17000
1z71,9.18000
2fgu,9.18000
2f14,9.19000
1x81,9.19000
1r6g,9.21000
1kwq,9.21000
1sqa,9.21000
1mh5,9.21000
2cer,9.22000
1zvx,9.22000
1d4k,9.22000
1x39,9.22000
1uho,9.22000
1jp5,9.22000
1hpv,9.22000
1hps,9.22000
1hpo,9.22000
1fcz,9.22000
1z1r,9.22000
1db1,9.26000
2avv,9.26000
1sdt,9.27000
1xow,9.28000
2ao6,9.28000
830c,9.28000
2ayr,9.29000
1bv7,9.30000
4er2,9.30000
2aux,9.30000
1xp1,9.30000
1udt,9.30000
1bil,9.30000
1bn4,9.31000
2aqu,9.32000
1bn1,9.34000
1inc,9.34000
2bdj,9.35000
1flm,9.37000
2fm0,9.40000
2bpx,9.40000
1ksn,9.40000
1sqn,9.40000
1met,9.40000
1fkf,9.40000
1ebz,9.40000
1e03,9.40000
1azx,9.40000
1xp6,9.40000
1pme,9.40000
1nl4,9.41000
1hsg,9.42000
1hsh,9.42000
1cil,9.43000
1g1d,9.44000
2auz,9.46000
1p01,9.46000
1pau,9.46000
1qbs,9.47000
1q4x,9.48000
1xjd,9.48000
1bnq,9.49000
1ca8,9.49000
1c6y,9.51000
1hvr,9.51000
2gvj,9.52000
1vik,9.52000
2bys,9.52000
1c7f,9.52000
1m4h,9.52000
1ms6,9.52000
1re8,9.52000
1vij,9.52000
